"cod_alumno"|"ciudad"|"sexo_f"|"puntaje_ingreso"|"promedio_notas"|"total_creditos_logrados"|"biologia"|"matematicas"|"filosofia"|"fisica"|"historia"|"quimica"|"lenguaje"|"geografia"|"idiomas"|"sociales"|"lecturacritica"|"ciencias"|"razonamiento"|"competenciaciud"|"valor_matricula"|"valor_servicios"|"ingresos"|"vive_familia"|"estrato"|"estrato_vivira"|"actualmente_trabaja"|"valor_matric_colegio"|"ano_pago_colegio"|"ingresos_familiares"|"ano_ingresos"|"numero_aportantes"|"numero_hermanos"|"numero_hermanos_est_superior"|"edad_inicio"|"edad_reporte"|"anio_reporte"|"clase"
217160264|PASTO                    |0|70.0|3.125|50.0|0.000|77.000|0.000|0.000|0.000|0.000|0.000|0.000|64.000|59.000|65.000|68.000|0.000|0.000|0|0|0|1|1|1|0|0|2014|7000000|2016.0|2.0|1.0|1.0|22.0|24.0|2018.0|
217160324|PASTO                    |0|75.67|2.6249999999999996|14.0|0.000|93.000|0.000|0.000|0.000|0.000|0.000|0.000|59.000|70.000|65.000|68.000|96.000|71.000|0|0|0|1|2|0|0|5000|2014|2160000|2015.0|1.0|1.0|0.0|18.0|19.0|2018.0|
217160383|PASTO                    |0|74.91|3.0035714285714286|43.0|0.000|77.000|0.000|0.000|0.000|0.000|0.000|0.000|79.000|59.000|72.000|78.000|74.000|62.000|0|0|0|1|2|2|0|0|2014|12000000|2015.0|1.0|1.0|0.0|19.0|20.0|2018.0|
218033016|PASTO                    |0|75.5|2.8|17.0|0.000|78.000|0.000|0.000|0.000|0.000|0.000|0.000|79.000|81.000|69.000|76.000|0.000|0.000|0|0|0|0|4|4|0|10|2017|95|2016.0|2.0|0.0|0.0|16.0|17.0|2018.0|
218033171|PASTO                    |1|75.8|3.891666666666667|36.0|0.000|76.000|0.000|0.000|0.000|0.000|0.000|0.000|75.000|79.000|66.000|85.000|0.000|0.000|0|0|0|0|2|2|0|10|2016|10|2016.0|1.0|1.0|0.0|18.0|19.0|2018.0|
218033173|PASTO                    |0|77.7|1.92|8.0|0.000|78.000|0.000|0.000|0.000|0.000|0.000|0.000|83.000|77.000|80.000|73.000|0.000|0.000|0|0|0|1|1|3|0|10|2016|85|2016.0|1.0|2.0|0.0|18.0|18.0|2018.0|
218033206|PASTO                    |0|73.95|2.9333333333333336|15.0|0.000|73.000|0.000|0.000|0.000|0.000|0.000|0.000|67.000|79.000|66.000|85.000|0.000|0.000|0|0|0|0|1|1|0|10|2017|6000000|2016.0|1.0|1.0|0.0|19.0|20.0|2018.0|
218033254|PASTO                    |0|79.2|2.41|19.0|0.000|84.000|0.000|0.000|0.000|0.000|0.000|0.000|81.000|74.000|74.000|78.000|0.000|0.000|0|0|0|1|2|1|0|5000|2016|12000000|2016.0|2.0|2.0|1.0|19.0|19.0|2018.0|
218033263|PASTO                    |0|80.07|4.357142857142857|20.0|0.000|90.000|0.000|0.000|0.000|0.000|0.000|0.000|77.000|86.000|61.000|84.000|94.000|72.000|0|0|0|1|1|2|0|10|2015|2000000|2018.0|1.0|1.0|0.0|18.0|18.0|2018.0|
218033299|PASTO                    |1|79.55|2.7600000000000002|11.0|0.000|84.000|0.000|0.000|0.000|0.000|0.000|0.000|77.000|74.000|81.000|74.000|0.000|0.000|0|0|0|0|3|3|0|10|2016|55|2016.0|2.0|2.0|0.0|18.0|18.0|2018.0|
218033305|PASTO                    |0|0.0|3.4|3.0|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0|0|0|1|9|5|1|6517050|2013|2147483647|2013.0|8.0|17.0|13.0|18.0|18.0|2018.0|
218033341|PASTO                    |1|80.9|4.385714285714286|18.0|0.000|84.000|0.000|0.000|0.000|0.000|0.000|0.000|81.000|73.000|83.000|76.000|0.000|0.000|0|0|0|1|1|2|1|10|2012|2400000|2016.0|2.0|0.0|0.0|22.0|23.0|2018.0|
218033357|PASTO                    |0|75.37|2.62|9.0|0.000|96.000|0.000|0.000|0.000|0.000|0.000|0.000|57.000|52.000|63.000|72.000|94.000|53.000|0|0|0|1|1|2|0|10|2017|12000000|2016.0|2.0|0.0|0.0|23.0|23.0|2018.0|
218033415|PASTO                    |0|72.95|3.3071428571428574|27.0|0.000|71.000|0.000|0.000|0.000|0.000|0.000|0.000|65.000|77.000|66.000|85.000|0.000|0.000|0|0|0|1|1|1|0|10|2015|1800000|2016.0|1.0|1.0|1.0|20.0|20.0|2018.0|
218033502|PASTO                    |0|71.23|1.075|4.0|0.000|81.000|0.000|0.000|0.000|0.000|0.000|0.000|58.000|64.000|62.000|76.000|77.000|63.000|0|0|0|1|2|2|0|100000|2011|12400000|2018.0|1.0|1.0|0.0|23.0|23.0|2018.0|
218033557|PASTO                    |0|79.25|3.7600000000000002|14.0|0.000|83.000|0.000|0.000|0.000|0.000|0.000|0.000|82.000|100.000|75.000|73.000|0.000|0.000|0|0|0|0|1|1|0|10|2017|55|2018.0|1.0|0.0|0.0|21.0|21.0|2018.0|
218033566|PASTO                    |0|78.6|1.075|4.0|0.000|75.000|0.000|0.000|0.000|0.000|0.000|0.000|57.000|73.000|100.000|72.000|0.000|0.000|0|0|0|0|1|1|0|10|2016|85|2016.0|2.0|1.0|0.0|18.0|18.0|2018.0|
218033584|PASTO                    |0|0.0|||0.000|78.000|0.000|0.000|0.000|0.000|0.000|0.000|79.000|69.000|79.000|79.000|0.000|0.000|0|0|0|0|0|0|0|0|0|6500000|0.0|2.0|1.0|0.0|24.0|25.0|2018.0|
218033585|PASTO                    |1|0.0|4.128571428571428|19.0|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0|0|0|0|0|0|0|0|0|0|0.0|1.0|3.0|0.0|22.0|22.0|2018.0|
218034010|PASTO                    |0|84.09|3.557142857142857|17.0|0.000|83.000|0.000|0.000|0.000|0.000|0.000|0.000|95.000|92.000|76.000|87.000|86.000|79.000|0|0|0|1|4|4|0|10|2012|100|2016.0|1.0|0.0|0.0|22.0|23.0|2018.0|
218034013|PASTO                    |0|68.0|2.957142857142857|11.0|0.000|72.000|0.000|0.000|0.000|0.000|0.000|0.000|60.000|63.000|65.000|69.000|0.000|0.000|0|0|0|1|1|1|0|10|2017|15|2018.0|1.0|1.0|0.0|17.0|17.0|2018.0|
218034025|PASTO                    |0|69.5|2.1833333333333336|19.0|0.000|80.000|0.000|0.000|0.000|0.000|0.000|0.000|55.000|77.000|63.000|62.000|0.000|0.000|0|0|0|0|1|3|0|20|2015|100|2016.0|1.0|2.0|0.0|20.0|21.0|2018.0|
218034027|PASTO                    |1|66.0|2.4214285714285713|24.0|0.000|61.000|0.000|0.000|0.000|0.000|0.000|0.000|74.000|70.000|70.000|66.000|0.000|0.000|0|0|0|1|3|3|0|10|2017|10|2016.0|1.0|1.0|0.0|17.0|18.0|2018.0|
218034038|PASTO                    |0|66.65|2.5000000000000004|17.0|0.000|69.000|0.000|0.000|0.000|0.000|0.000|0.000|60.000|63.000|70.000|62.000|0.000|0.000|0|0|0|1|2|2|0|10|2017|10|2016.0|1.0|3.0|1.0|18.0|18.0|2018.0|
218034073|PASTO                    |0|69.85|1.5666666666666664|4.0|0.000|74.000|0.000|0.000|0.000|0.000|0.000|0.000|57.000|64.000|63.000|78.000|0.000|0.000|0|0|0|1|1|0|0|10|2016|5000000|2016.0|1.0|4.0|0.0|19.0|20.0|2018.0|
